City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Agapovka,RU,53.2973,59.1348,40.21,82,41,6.67,scattered clouds
79,Anchorage,US,61.2181,-149.9003,58.86,82,100,5.99,overcast clouds
80,Keti Bandar,PK,24.1447,67.4497,79.93,78,0,13.22,clear sky
81,Aksu,CN,41.1231,80.2644,72.63,20,0,2.68,clear sky
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.69,72,88,20.0,overcast clouds
83,Oktyabrskiy,RU,54.4815,53.471,47.05,60,100,6.98,overcast clouds
84,Qaanaaq,GL,77.484,-69.3632,33.49,83,80,1.39,broken clouds
85,Airai,TL,-8.9266,125.4092,58.28,46,100,2.35,overcast clouds
86,Havoysund,NO,70.9963,24.6622,48.43,88,100,22.7,light rain
87,Pevek,RU,69.7008,170.3133,42.22,65,7,13.51,clear sky
88,Namatanai,PG,-3.6667,152.4333,82.17,74,30,5.82,scattered clouds
89,Ribeira Grande,PT,38.5167,-28.7,75.99,91,100,18.3,light rain
90,Lavrentiya,RU,65.5833,-171.0,43.68,88,100,8.21,light rain
91,Capaci,IT,38.1711,13.2393,82.26,58,40,3.44,scattered clouds
92,Mahebourg,MU,-20.4081,57.7,70.09,78,75,6.91,broken clouds
93,Otjimbingwe,NA,-22.35,16.1333,72.72,21,0,2.37,clear sky
94,Karratha,AU,-20.7377,116.8463,64.76,62,1,5.08,clear sky
95,Ilulissat,GL,69.2167,-51.1,39.22,87,75,4.61,broken clouds
96,Yellowknife,CA,62.456,-114.3525,48.18,71,100,14.0,overcast clouds
97,Taree,AU,-31.9,152.4667,59.11,78,76,4.9,broken clouds
98,Sisimiut,GL,66.9395,-53.6735,39.36,96,100,8.34,overcast clouds
99,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,92,0,11.5,clear sky
100,Vila Velha,BR,-20.3297,-40.2925,70.95,72,100,5.99,overcast clouds
101,Slave Lake,CA,55.2834,-114.769,64.8,38,100,8.93,overcast clouds
102,Salalah,OM,17.0151,54.0924,76.35,86,100,4.92,overcast clouds
103,Chokurdakh,RU,70.6333,147.9167,53.02,54,100,10.45,overcast clouds
104,Neuquen,AR,-38.9516,-68.0591,57.92,20,18,20.27,few clouds
105,Mayumba,GA,-3.432,10.6554,74.01,88,100,9.35,overcast clouds
106,Ostrovnoy,RU,68.0531,39.5131,42.8,84,100,15.43,light rain
107,Port-Cartier,CA,50.0334,-66.8654,59.76,72,11,3.38,few clouds
108,Margate,GB,51.3813,1.3862,60.91,91,100,3.0,heavy intensity rain
109,Akyab,MM,20.15,92.9,81.91,82,100,5.93,overcast clouds
110,Dikson,RU,73.5069,80.5464,37.65,87,100,19.26,light rain
111,The Valley,AI,18.217,-63.0578,86.09,79,40,5.75,scattered clouds
